FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A,,A-,,,,A-,,,,A,,A-,,,B+,A,A,B+,B,B+,B+,,,A-,,,,,,,A,C+,B,,,C,,,C
A-,,A,,,,B+,,,,A-,,,B+,,,B+,A-,A-,B+,A,A,,,A-,,,,B,,,,,A,,,A,,,B+
V,,V,,,,,,B,,A-,,A,,,V,A,A,A,A,A,A,,,B,,,,A,,,,,V,,,A,,,A
B+,,B-,,,,A-,,,,A,,,,,,,A-,,A,A-,A,,,B-,,,,B+,,,,,,,,,,,A
A,,A,,,,A,,,,A,,,,A,A-,A,A,,B,B,B+,,,A,,,,,,,A,,A,,,B+,,,A
B,,B,,,,A,,,,A-,,,,,,,B,,B-,C,C,,,C,,,,,,,,,,,,,,,B-
V,,A,,,,A-,,,,B,,,A,,,,A,,B+,B-,B,,,V,,,,,B,,,,,,,,,,B
A,,V,,,,,,A,,A,,,A,,A,A,A,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
V,,A,,,,B,,,,A,,A,,,A-,B,A,,A,B,A,,,C,,,,,,,A-,,B,,,C,,,A
A,,A,,,,A,,,,A,,,,A-,B,A-,A,,A,B,B,,A,A,,,,,,,C+,C,B,,,C,,,B
B,,B,,,,A,,,,A,,B,,,B,B+,A,,C,B,C,,C,B,,,,,,,C+,,C-,,,C,,,C
V,,V,,,,,,A,,A,,,A,,A,A,A,,A,V,V,,,V,,,,,A,,,,A,,,A,,,A
,A,,,,A,,,,A,,A,B+,,,B+,B+,A,,B,C,C,,,B,,,,,,,A-,,A-,,,C+,,,B
A-,,,A,,,,A,,,A,,,A-,,A,A,A,,A,B-,C,,,B,,,,,,,C+,,C,,,C,,,A
A,,A,,,,A,,,,B+,,A,,,B+,A-,A,B,C+,B-,C,,,A-,,,,,,,A,B+,A-,,,C+,,,B
B,,A,,,,B-,,,,A-,,,A-,,B+,A,A,,B+,B,C,,,A-,,,,,,,A-,B-,A,,,B,,,A-
A,,B,,,,B+,,,,B+,,B+,,,A-,A-,A-,,B+,B-,C-,,,B,,,,,,,A,,C+,,,B-,,,B+
B-,,B+,,,,B,,,,A-,,,,,,,B,,B-,B+,C+,,,B-,,,,,,,,,,,,,,,B-
A,,A,,,,A,,,,V,,B+,,,A,A,A,,A-,V,,,,V,,,,,A,,,A,V,,,V,,,A
B+,,A-,,,,B,,,,B,,,,C+,B,A,B,,B+,B,C+,,,A-,,,,,,,A,,A-,,,B,,,B-
V,,V,,,,,,A,,A,,,A,,A,A,A,,A,V,,,,A,,,,A,,,,,,A,,,A,,A
A-,,V,,,,,,,,A-,,A,,,,,A,,B,B-,C+,,,V,,,,,C,,,,,,,,,,B+
V,,A,,,,A,,,,B,,A,,,A,A-,A,,A,V,B,,,B,,,,,,,A-,,B-,,,B,,,A
A,,B+,,,,C+,,,,A-,,,,,,,B-,,B,D+,D,,,D+,,,,,,,,,,,,,,,B+
B+,,V,,,,,,,,B,,,,B+,,,B+,,B,B,C+,,,B-,,,,,,,,,,,,,,,B+
A-,,A,,,,A,,,,A,,,,A,B+,A,A,,B+,A-,A,,,A,,,,,,,A,,A,,,B+,,,B+
B-,,A-,,,,A-,,,,B,,B,,,A-,B+,A,B+,B,B-,B-,,,B-,,,,B,,,,,B-,,,B,,,B+
A,,A,,,,A,,,,A,,,,,,,A,,A,A,A,,,A,,,,A-,,,,,,,,,,,A
,,,,,,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,,,,
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A-,,,A,,,,,,,A,A,B,,,A-,,,A-
A,,A,,,,A,,,,A,,A,,,A,A-,B,,A,A,B,,,A,,,,B+,,,,,A-,,,B+,,,B
A,,V,,,,,,A,,A,,,A-,,A-,A,A,,A,V,,,,V,,,,,A,,,,,A,,,A,,A
C,,C+,,,,C-,,,,D+,,,,,,,B,,C+,RF;D+,D+,,,D+,,,,,,,,,,,,,,,D
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A-,,,,,A,,,A,,,A
B,,A,,,,B+,,,,C-,,B+,,,B,B+,A-,,B,B+,B-,,,B-,,,,,,,A-,C,B-,,,B-,,,C-
A,,V,,,,,,A-,,A-,,,,A,,A,A,A,A-,A-,B-,,,B,,,,B-,,,,,C+,,,B+,,,A
B+,,A,,,,B-,,,,B,,,A-,,B,A-,B+,C+,B,B-,B-,,,B-,,,,,,,A,B-,B-,,,C,,,C+
C+,,RF,,B-,,,,,A,RF;D+,,B,,,B,B+,C+,C+,D,C,D,,,D,,,,D,,,,,C,,,D,,,C-
A,,A,,,,A,,,,A,,A,,,A-,A,A,A,A,V,V,,,A,,,,A,,,,,V,,,V,,,A
A,,A,,,,B,,,,B+,,,,,,,A-,,A-,C+,C,,,B,,,,,,,,,,,,,,,B
A,,A,,,,A,,,,A,,,,A,A,A-,A,B,B-,C+,B,,,V,,,,,C-,,,,B,,,B,,,B
A,,A-,,,,B+,,,,A,,,,B,A,A-,B+,,A-,B-,B,,,B,,,,,,,B+,B,C-,,,C+,,,B
C+,,B,,,,,,,,,,,,,,,B+,,C,C,,,,,,,,,,,,,,,,,,,
A,,,A,,,,A,,,C,,A,,,A-,A-,A,,C,C,C,,,B,,,,,,,B,,C-,,,D+,,,B
C,,A,,,,C,,,,A,,A-,,,C-,B+,B,,B,B,D,,,C,,,,B-,,,,,B,,,C,,,C
A,,B+,,,,D+,,,,B+,,,,,,,A-,,B-,B,C+,,,B+,,,,,,,,,,,,,,,A-
B,,B-,,,,A-,,,,C+,,A-,,,,B-,A-,,B+,B+,B-,,,C+,,,,,,,A,,C-,,,C,,,C
A-,,B,,,,B+,,,,B,,A,,,,B+,A,A-,A,C,D+,,,B,,,,,,,A-,B-,C+,,,B-,,,B-
A-,,B,,,,A,,,,C,,A-,,,B+,B+,A,,B-,B-,C,,,C+,,,,,,,B+,,A-,,,B,,,C+
C+,,A,,,,B+,,,,B-,,B,,,B-,B,A,,B+,B-,C,,,B-,,,,D+,,,,,A,,,A-,,,B
C+,,B,,,,B+,,,,B+,,C+,,,B-,B,B+,,B-,C-,D,,,C,,,,,,,C+,,C+,,,D+,,,C
A,,,A-,,,A,,,,A,,A-,,,A,A,A,A-,A-,A,A,,,A,,,,B+,,,,B+,A-,,,A-,,,B
C,,A,,,,B,,,,A,,A-,,,B-,B,A,,C,D,D,,,D,,,,,,,C+,,C-,,,C+,,,C
B+,,A-,,,,A,,,,A,,,,A,A,A,A,A-,A,B+,B+,,,B+,,,,A-,,,,,A-,,,A-,,,A
A,,,A-,,,,A-,,,A-,,,,A-,A,A-,A-,B+,B+,B+,A-,,,A,,,,,,,A,,A,,,B+,,,A-
B,,A,,,,A,,,,B+,,,,B+,,B,A,B+,B,C-,C,,,C-,,,,,,,B-,C,C+,,,B,,,C
V,,A,,,,A,,,,A-,,A,,,A,A,A,A,A,V,,,,V,,,,,A,,,,,A,,A,,,A
A-,,A,,,,A-,,,,A,,,,,,A,A,A,A,A-,A-,,,B+,,,,B+,,,,,B+,,,B+,,,A
A,,A,,,,A-,,,,B+,,,,B+,B+,A,A-,A-,B,B,C+,,,B+,,,,,,,A,,B+,,,B,,,A-
C+,,B+,,,,B+,,,,C,,C,,,A-,B-,A-,,B,C+,C-,,,C-,,,,,,,B-,C,C,,,B-,,,B
V,,V,,,,,,B,,A-,,A-,,,A,A,A,A-,B,B,B,,,C,,,,C,,,,,B-,,,B,,,B-
C,,C,,,,B,,,,C,,A-,,,A,B+,B,,B,D,RF,C,C,C,,,,,,,C-,,C-,,,C,,,C
V,,V,,,,,,A-,,A,,A,,,A,A,A,A,A,V,V,,,V,,,,,A,,,,A,,,A,,,A
RF;B,,C,,,,B+,,,,C-,,W,,,A-,B+,C-,B,D,D,D,,,D,,,,RF;D,,,,,D+,,,D+,,,C
C+,,B-,,,,D,,,,D,,W,,,,B,B-,C,B+,RF;D,W;F,,D,F;W;RF,,,,,,,,,,,,,,,RF;D
B+,,A,,,,A,,,,A,,,,A,,A-,A-,A-,B,B,B-,,,C+,,,,,,,B+,,B-,,,B,,,B
A,,B+,,,,A-,,,,B-,,C,,,,A-,B,A-,B-,C+,C-,,,C+,,,,C-,,,,,C,,,C,,,C
V,,A,,,,A-,,,,B+,,A,,,B,A,B,B,A-,B-,B+,,,B-,,,,C,,,,,,,,,,,A-
V,,V,,,,,,C,,B,,A,,,B+,A-,A,,B,C,A,,,B,,,,,,,A,,,C,,,C+,,B
A-,,A-,,,,A,,,,A,,,,,,,A,,A-,A,A,,,B,,,,A-,,,,,,,,,,,A
A,,A,,,,A,,,,B,,,,A-,A,A-,A,,B,C,B,,,D,,,,C,,,,,A,,,B-,,,B
C-,,C+,,,,B+,,,,A-,,B,,,A-,A-,C+,B,C+,C,C-,,,RF,B,,,,,,B+,,B+,,,C,,,B
V,,A,,,,A,,,,B,,A-,,,B+,A-,A-,B+,A,B+,B,,,B,,,,C+,,,,,B-,,,C+,,,A-
V,,V,,,,,,A-,,A,,A,,,A,A,A-,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
B,,B,,,,B,,,,D,,,C-,,B,B+,B,,B,A,A,,,V,,,,,A,,,,V,,,A-,,,A
B+,,C+,,,,B+,,,,B,,A-,,,B+,A-,B+,,B-,B,B+,,,C+,,,,,,,B-,B+,B,,,B-,,,B
V,,B,,,,C-,,,,D+,,,,C+,B,A-,B,,B,B,C+,,,B+,,,,,,,A,D+,B+,,,A-,,,B-
C-,,,,B+,,,,,B-,RF;B+,,,,B,,B,B+,,D,RF;D,C,,C+,C+,,,,F,,,RF,,C-,,,C;RF,,,D
A-,,V,,,,,,A,,B,,,A-,,A,A,A-,B+,A-,B-,C+,,B+,A-,,,,,,,B,,B+,,,C+,,,B
A,,A-,,,,A-,,,,B,,B-,,,B-,B+,B,A-,B-,V,,,,B,,,,,,,A,A,,C,,B-,,,B-
B+,,,,A,,,,,,B,,,,,,,B+,A,C,C,D,,,D+,,,,,,,,,,,,,,,A
B+,,B+,,,,A,,,,B+,,A-,,,B+,B+,A,A-,B-,C-,C,,,B-,,,,,,,B,,B,,,A-,,,C+
C,,B,,,,B,,,,A,,,,A-,B-,A-,A,,B,B,D,,,C,,,,,,,A,,B,,,B,,,B
A-,,V,,,,,,B,,A-,,,A-,,V,A-,A,B,A,B+,C+,,,B,,,,,,,B+,,B,,,C+,,,B
B,,B+,,,,B+,,,,C,,A,,,,B,B-,B,C+,C-,D,,,D,,,,,,,C-,D,D,,,C-,,,B-
B-,,B+,,,,A-,,,,C+,,,,B+,A,B+,B+,,C+,B,B-,,,C+,,,,B-,,,,C+,B,,,B,,,C+
B,,A-,,,,B,,,,B+,,B,,,B+,B-,A,B,C,D+,D,,,D,,,,D,,,,,C-,,,C-,,,C-
V,,V,,,,,,A,,A,,,,B+,A,A,A-,,A-,A,B,,,,,A-,V,,,B,,B,A,,,B,,,A
B+,,B+,,,,A-,,,,B+,,B-,,,,A,B+,B+,B-,C+,B-,,,C+,,,,,,,A,,B,,,B,,,C+
A,,V,,,,,,,,A,,,A,,,,A,,A-,B+,B+,,,V,,,,,A,,,,,,,,,,A
V,,B+,,,,B+,,,,C,,A,,,,,A,,A-,A-,A-,,,V,,,,,B-,,,,,,,,,,A-
V,,B+,,,,B+,,,,B+,,,B-,,A-,A,B+,,B,B,B+,,,A,,,,,,,A,C+,B,,,B-,,,B
A-,,A-,,,,B+,,,,B,,A-,,,B,B-,A-,B+,B,B,C+,,,B,,,,,,,A-,,B+,,,C+,,,B-
V,,V,,,,,,A,,A-,,,,B+,B,A-,A,B+,B+,B,C,,,B,,,,,,,A,,B-,,,B,,,B-
A-,,A-,,,,B,,,,B+,,A-,,,,A-,A-,B,A-,B+,C,,,B+,,,,B-,,,,,B,,,B,,,A
B-,,B,,,,A,,,,B,,,B,,B+,B,A-,C+,C,C-,C,,,RF,B+,,,,,,C-,,C,,,C,,,C-
B+,,A,,,,A,,,,A-,,,,B+,,,B,,B,V,V,,,B+,,,,,,,,,V,,,V,,,A-
C,,B,,,,A-,,,,A-,,B+,,,B+,A,A,A-,C+,C,C+,,,C-,,,,,,,B-,,B,,,B,,,C+
B+,,V,,,,,,,,A,,,,,A-,,A-,,B+,V,,,,V,,,,,B+,,,,V,,,B+,,,B+
B-,,B,,,,D+,,,,B,,,C,,C+,B,A-,,B,B,D,,,B-,,,,C+,,,,,B,,,C,,,B
A,,A-,,,,A-,,,,A,,B+,,,,B,A-,B+,A-,A-,B-,,,B,,,,B,,,,,A-,,,B,,,B+
