FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
V,,A,,,,A-,,,,B+,,A-,,,A,A,A,,B+,B+,B+,,,V,,,,,B,,,,B+,,,A-,,,B
B-,,B+,,,,B+,,,,B,,,,,,,A-,,F,C+,C-,,,C+,,,,C-,,,,,,,,,,,B+
B,,V,,,,,,B+,,B+,,A,,,A,A-,A,B-,B,A-,A-,,,V,,,,,A-,,,,A,,,B+,,,B-
V,,V,,,,,,A-,,A,,,,B+,A-,A,A,A-,B,B,B-,,,C,,,,,,,A-,,B+,,,B-,,,A-
A,,A-,,,,B,,,,B,,B+,,,A,B+,A,B,B,B+,B+,,,C+,,,,C,,,,,B+,,,B,,,B
B,,A-,,,,A,,,,A,,,B+,,A,B+,A-,B,A-,C,D+,,,C+,,,,,,,A-,,B,,,B,,,C
C,,B,,,,A,,,,B,,B,,,C+,A-,A,,B,C,C,,C,C,,,,,,,B,,C-,,,D+,,,B
B+,,B,,,,A-,,,,A-,,A-,,,,A-,B,B-,C,D,D,,,D,,,,,,,B-,C+,B-,,,C-,,,B
V,,V,,,,,,,,B,,,,,A-,,A,,B+,A-,A-,,,V,,,,,B,,,,V,,,B+,,,A
V,,V,,,,,,A,,A,,A,,,A,A,A,,A,A,B,,,A,,,,A,,,,,A,,,A,,,A
B,,A,,,,A-,,,,B+,,,,A,,A-,A-,C+,B,C,C,,,B+,,,,B,,,,,B,,,C+,,,B+
B+,,B,,,,A,,,,C+,,,,,,,A-,,B,D+,C-,,,A-,,,,,,,,,,,,,,,B+
V,,V,,,,,,A,,B+,,A-,,,A-,A,B,,A,V,,,,V,,,,,A,,,,,A,,A,,,A
A,,V,,,,,,A-,,A-,,,,A-,V,A,A,A,A,A-,A-,,,V,,,,,A-,,,,A,,,A,,,A-
B,,B+,,,,B,,,,B,,D+,,,B,A-,B-,,C,C,D,,,C,,,,RF;C-,,,,,D+,,,D,,,D
A,,V,,,,,,A,,A,,A,,,A,A,A,,A,A,B,,,A,,,,,,,A,,B,,,B+,,,A
C+,,,,C+,,,,,,D+,,,,,,,C-,,D,D,D,,,B-,,,,,,,,,,,,,,,C-
B,,A-,,,,,A-,,,B+,,A-,,,A-,A-,A-,,B+,C-,C,,,B,,,,C-,,,,B-,C,,,B-,,,C+
A,,V,,,,,,A,,A,,,A,,A-,A,A,,A,B,B,,,C,,,,C,,,,,B+,,,B-,,,B
B-,,B+,,,,B,,,,A-,,,,,,,A,,B+,D,C-,,,B,,,,,,,,,,,,,,,C+
A,,,A,,,,A,,,A,,A,,,A,A,A,,A,B,A,,,B,,,,A,,,,,A,,,A,,,B
A-,,A,,,,A-,,,,B,,,,,,,B-,A,B,B,C+,,,C,,,,,,,,,,,,,,,B+
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
B-,,B,,,,A,,,,A-,,,,,,,A-,,A-,B-,B-,,,B+,,,,,,,,,,,,,,,B+
B,,A-,,,,B,,,,B,,,,,,,B+,,B,A-,B,,,V,,,,,B,,,,,,,,,,A
B-,,B+,,,,C,,,,B-,,A,,,C+,B,B,,B,C,D,,,C,,,,,,,C,D,C+,,,C+,,,B-
B+,,A-,,,,A-,,,,B,,,,A-,A-,C,A-,A,B,B+,B,,,C-,,,,,,,B+,D,C+,,,C,,,B-
A,,V,,,,,,B+,,B+,,A,,,,A,A,A,A-,B-,B-,,,B-,,,,,,,B+,,B-,,,C+,,,A
V,,V,,,,,,A,,A,,A-,,,,A,A,,B,B,B,,,C,,,,,,,A,,B,,,,,,A
C-,,RF,,B,,,,,D,RF;D,,C-,,,C,B-,A,,C,D,D,,,C,,,,,,,D,,C-,,,RF,,B,C
V,,A,,,,A,,,,A,,,,A,A,A,A,,A,B,B,,,B,,,,,,,A,,B,,,B,,,A
C,,B,,,,B,,,,B,,B-,,,B,B,B-,,A-,B-,B-,,,A,,,,A-,,,,,B,,,B,,,B-
B,,A-,,,,A-,,,,C+,,D+,,,C,C+,B,,B,D+,D,,,D,,,,,,,C-,,C-,,,D+,,,C+
V,,V,,,,,,,,A,,,A,,,,A,,A,A-,A,,,B+,,,,B,,,,,,,,,,,A
C+,,B+,,,,A,,,,B+,,A,,,A,A,A,A-,B+,A-,A,,,A-,,,,,,,A,A,A,,,A,,,A
A,,A,,,,B,,,,A,,A-,,,B-,B,A,,B,A,C,,,A,,,,B-,,,,,B,,,C+,,,A
A,,B,,,,B+,,,,A,,A,,,A,A,A,,B+,B,B+,,,C+,,,,B,,,,,A-,,,A-,,,B
V,,V,,,,,,A,,A-,,A,,,A,A,A,,A-,V,,,,B,,,,B,,,,,,B+,,A-,,,A-
A,,A-,,,,A-,,,,B,,,,,,,B,,B,B-,D+,,,V,,,,,C-,,,,,,,,,,B+
V,,B+,,,,C,,,,A-,,A-,,,,B+,B,C+,B,C-,C-,,,D+,,,,D,,,,,D,,,B-,,,B+
B+,,A-,,,,A-,,,,A-,,A-,,,,A-,A,B+,C,C+,C-,,,C+,,,,,,,C,,C-,,,C-,,,A
B-,,,A,,,,B,,,D+,,B,,,B,B-,B,B+,B+,A-,B+,,,C-,,,,,,,B+,D+,B,,,B-,,,C
A,,A,,,,B+,,,,A-,,,,,,,B,,B,B-,C,,,B,,,,C,,,,,,,,,,,B+
A-,,A-,,,,A,,,,A,,,,,,A,A-,A-,A,B+,B-,,,B-,,,,B,,,,,A,,,A,,,B+
A-,,B+,,,,A-,,,,B,,B,,,C+,A,B,B,B+,C+,C,,,C,,,,C,,,,C,B+,,,C,,,C+
A-,,B,,,,B+,,,,B+,,B+,,,A-,A,B+,,B+,C+,B-,,,C+,,,,,,,B,,C+,,,C+,,,B-
A-,,A,,,,A,,,,A,,A-,,,A,B+,A,B+,A-,A,A,,,A-,,,,B,,,,,A,,,B+,,,B
A-,,A,,,,B+,,,,B+,,,,,,,A,,B+,B+,B-,,,B-,,,,,,,,,,,,,,,B+
B,,B-,,,,B+,,,,B-,,,,,,,B+,,B,C+,C+,,,C+,,,,,,,,,,,,,,,C
B+,,V,,,,,,,,B,,,,,B,,B-,,B,B,C-,,,V,,,,,B-,,,,,,,,,,A
V,,V,,,,,,A,,A,,A,,,A,A,A,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
B+,,A-,,,,B,,,,B+,,,,,,B-,C+,A-,C+,C+,C,,,B-,,,,C,,,,,B,,,A-,,,B-
A,,A,,,,A,,,,A,,,,B,A,A,A,,A,V,,,,B,,,,A,,,,,,A,,,A-,,A
B+,,A,,,,A,,,,A,,,,A,A-,A,A-,B+,A-,C+,B,,A,A-,,,,,,,B+,,B-,,,B-,,,B+
B-,,B,,,,B+,,,,C+,,,A-,,C-,A-,B+,,B-,C+,C-,,,C-,,,,C+,,,,,B-,,,B-,,,B-
D+,,B,,,,B+,,,,B-,,B-,,,A-,B+,B,,C,C,C-,,,D+,,,,C,,,,,C,,,C,,,C+
A,,A,,,,A,,,,A,,A,,,B+,B+,A,A,A,V,V,,,B,,,,A-,,,,,V,,,V,,,A
V,,A,,,,B,,,,B,,,C+,,A-,B-,A,,C,C,C,,,B,,,,C,,,,,A-,,,,,,B
A,,A-,,,,A,,,,B+,,A,,,A,A,A,A-,A,B-,B,,,B,,,,,,,A,,A,,,B+,,,B
A,,A-,,,,A,,,,B+,,B,,,B+,A,A-,,A-,A-,B+,,,B,,,,B,,,,,A,,,A,,,A-
V,,V,,,,,,A,,A-,,,,A-,A,A,A,,B-,C,D+,,,C-,,,,,,,B-,,D,,,C,,,B
B,,,,B,,,,,B,B-,,B,,,C,B,B+,C,C,C,C-,,B,B-,,,,D+,,,,,C,,,B+,,,C
C,,A-,,,,B+,,,,D,,,D+,,C+,B,A,,B,B,C,,,,,D,V,,,C-,,D,B,,,C-,,,C
C+,,A,,,,B+,,,,A,,,B,,A,B,B+,,B,C,C,,,C,,,,,,,B,,B+,,,C-,,,C+
V,,A,,,,A-,,,,A,,A-,,,,,B+,,A-,A-,A,,,V,,,,,A-,,,,,,,,,,A-
B-,,A-,,,,B+,,,,A-,,B-,,,C+,B,B+,C,C,C,C,,C+,D,,,,,,,C-,,RF,,C-,D,,,D
A-,,A-,,,,B+,,,,A-,,,A-,,A,A,A,,A,B,A,,,A,,,,B,,,,,A,,,A,,,A
C,,A-,,,,B-,,,,A,,,C,,A-,A-,B,,C+,D,C,,,C,,,,,,,B-,C-,B-,,,C,,,C+
C+,,B+,,,,B,,,,B-,,C-,,,A,B,B-,B,B-,C,C-,,,C+,,,,,,,C,C+,B+,,,B+,,,B
V,,,C,,,,B,,,B,,B-,,,B+,C,A,,B,B,B,,,B,,,,B,,,,,A,,,B-,,,B
B+,,B,,,,B-,,,,C,,C+,,,C-,B-,A-,,C+,C,D+,,,C,,,,,,,C+,,C-,,,C,,,B+
A-,,A,,,,B+,,,,A-,,,,,,,A,,C,D,D,,,D,,,,,,,,,,,,,,,C+
B+,,A-,,,,B,,,,B+,,,,B,A,B,B+,,B,B,B,,,B,,,,,,,C+,,B,,,B-,,,B
A,,V,,,,,,A,,A,,A,,,A,A,A-,,A-,A,B,,,A,,,,B+,,,,,A-,,,A-,,,B+
A,,A,,,,A,,,,A,,A-,,,A-,A,A,A,A-,A,A,,,V,,,,,A,,,A,A,,,A,,,A-
A,,V,,,,,,,,B+,,,,,,,A,,B+,C+,C,,,A,,,,,,,,,,,,,,,B
B,,B,,,,C,,,,C,,B,,,B+,C+,B,,B,B,B,,,A,,,,C,,,,,,,,,,,C
A,,A,,,,A,,,,A,,B+,,,A,A-,A-,,A-,B+,B,,,A,,,,B-,,,,,A-,,,B,,,B-
A-,,A,,,,A-,,,,A-,,,A,,A,A-,A-,,A-,B+,B+,,,A,,,,,,,A,,A,,,A,,,A
C-,,A,,,,B+,,,,A-,,,,,,,A-,,C,C-,D+,,,D,,,,,,,,,,,,,,,C
C,,,B,,,,B,,,B,,B,,,A,B,B+,,C+,C,C-,,,C+,,,,D,,,,,C,,,C+,,,C
A-,,V,,,,,,B,,A,,,A,,A,A,A,A,A,A-,A-,,,B,,,,B,,,,,A,,,A,,,B
V,,,B+,,,,C,,,B+,,,B,,C,B+,B-,,C+,B-,C-,,,C+,,,,,,,C+,,D,,,D+,,,B
B+,,A-,,,,B,,,,B,,,,,,B,B-,B+,B-,A-,B-,,,C,,,,D+,,,,,V,,,B+,,,A-
C,,C,,,,F,,,,D,,,,,,,C,,F,RF;D,,,F,,,,,,,,,,,,,,,,W
C,,B,,,,A,,,,C,,,,B,B,A-,A,,B,D,D,,C,B,,,,,,,C+,,C,,,D,,,B
A,,A,,,,A,,,,A-,,A,,,A,A,A,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A-
A,,V,,,,,,A,,B+,,,,A-,A-,A,A,A,A,A,A,,,A,,,,B+,,,,,A-,,,A,,,B+
C,,B,,,,B,,,,B,,,,B,,B,B,,B,C,B,,,C,,,,,,,C+,,C,,,C,,,C
B+,,B,,,,A-,,,,B,,,,,,,A,,A-,C+,C,,,B,,,,,,,,,,,,,,,B+
A-,,V,,,,,,A,,A,,A,,,A,A-,A,A,A-,A,A,,,A,,,,A,,,,,A,,,A-,,,A
A-,,V,,,,,,A,,A,,,A-,,A,A,A-,,A-,B+,B+,,,B-,,,,,,,A-,,A-,,,B+,,,B
A,,A,,,,A,,,,A-,,A-,,,,A-,A,A,A-,A,A,,,V,,,,,A,,,,A,,,A,,,A
A-,,V,,,,,,,,A-,,,,,,,B-,,B-,C-,C,,,C+,,,,,,,,,,,,,,,C-
A,,A,,,,A,,,,A,,A,,,,A,A,A,A,A,A,,,A,,,,,,,A,A,A,,,A,,,A
B+,,V,,,,,,,,A,,A,,,,,B+,,A-,V,,,,C+,,,,C-,,,,,V,,,V,,,A-
A-,,A-,,,,A-,,,,B+,,B+,,,A,A,A,B+,A,B+,B+,,,B+,,,,,,,A-,,B-,,,B+,,,A
C,,C,,,,C,,,,C,,,,,,D+,C,,C,C,D,,B,A,,,,,,,D,,F,,,,,,D
B-,,A,,,,A,,,,A-,,,,,,,A-,,B,D+,C-,,,A-,,,,,,,,,,,,,,,B-
A-,,V,,,,,,,,B,,,C,,,,B,,B,C,C,,,C,,,,D,,,,,,,,,,,B-
A,,A,,,,A,,,,B,,A,,,B-,B,A-,B,B,B,B-,,,C,,,,C+,,,,C-,B,,,C,,,B
C+,,A,,,,B,,,,A-,,,,B,B,A,B+,B+,B-,C+,C-,,,V,,,,,B,,,,C,,,B,,,B+
B,,A-,,,,B+,,,,B,,,,B+,A-,B+,A-,,B+,B,B,,,C,,,,,,,B+,A,B,,,B-,,,B-
B,,A-,,,,B+,,,,A-,,A,,,A-,B+,B+,B,B,C,C+,,,C-,,,,,,,C+,,C,,,B,,,B
V,,A,,,,A-,,,,A,,A-,,,V,B+,A,A,A-,B-,B,,,V,,,,,B+,,,A,A,,,A,,,B+
A-,,A-,,,,B,,,,B+,,A-,,,,A,A-,B-,B+,A,A-,,A,A,,,,B-,,,,,A-,,,A,,,A
A,,A,,,,A-,,,,A,,,,A-,B+,A-,A,,B+,B-,C,,,C+,,,,B-,,,,,B-,,,A,,,B
B,,B-,,,,B,,,,C+,,B-,,,,C-,B+,C+,B-,D,RF,C-,,C-,,,,RF;D,,,,F,C-,,,C,,,C-
B,,B,,,,B,,,,B,,B,,,B+,B,B+,C+,C+,D,D,,D+,D,,,,,,,C,,D+,,,D+,,,D
A,,A-,,,,A,,,,A,,A,,,A,A,A,A,A-,A-,A-,,,A-,,,,,,,A,A,A-,,,A,,,A-
A,,V,,,,,,A-,,A-,,,,B+,A,A,A,,A,V,,,,V,,,,,A,,,,,A,,A-,,,A
B,,B,,,,A,,,,B+,,,B+,,A-,A-,B+,A-,B+,V,,,,A,,,,A,,,,,,,,,,,A
V,,V,,,,,,A-,,A-,,,,A-,A-,A-,B,B-,B-,B+,C-,,,A,,,,D,,,,,B,,,C,,,B+
B+,,B+,,,,B,,,,B+,,,,,,,B+,,B-,C-,C-,,,D+,,,,,,,,,,,,,,,B+
B+,,A-,,,,A-,,,,B-,,,,,,,A-,,A-,B,C+,,,B+,,,,,,,,,,,,,,,A-
B+,,,B,,,B+,,,,B+,,,A-,,A,A-,B+,A,B+,B+,C,,,B-,,,,A-,,,,B,A-,,,B,,,A
A,,B+,,,,B+,,,,B+,,A,,,,B,B,A-,A,B+,A-,,,B,,,,A-,,,,,A,,,A,,,B+
A-,,A-,,,,B+,,,,B,,,C+,,A-,A,B+,,B,B,C-,,,C,,,,,,,C,,B-,,,C-,,,B
C,,C,,,,B+,,,,C,,A,,,C+,B,B-,C,C,C+,B-,,,B-,,,,D,,,,,C-,,,C,,,D+
,A-,,,,B+,,,,A-,,A,,,,,A,B+,A-,B-,A-,B,,,B+,,,,,,,A-,B-,A-,,,A-,,,B-
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,B,B,,,B,,,,B+,,,,,B,,,A-,,,A
B,,A,,,,A,,,,A,,A-,,,B+,B+,A,,A,B,C,,,A,,,,B-,,,,,B,,,B-,,,B
B-,,,,A,,,,,B+,B-,,A-,,,B,B+,A-,,B,C,C+,,,B,,,,,,,C+,,B,,,B,,,B-
,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,
A,,B,,,,A,,,,B,,A,,,A-,A,A,,B,B,C,,,C,,,,,,,B-,,C,,,C,,,B
B+,,V,,,,,,A-,,A-,,,,A,A,A,A-,,A-,B,C-,,,B-,,,,C+,,,,,B-,,,B-,,,B+
A-,,A,,,,A,,,,A,,A,,,A,A,A,,A-,B,B+,,,A,,,,B+,,,,,,,,,,,A-
A,,A,,,,A,,,,B,,A,,,A,A-,A,,B,C,B,,,B,,,,,,,B,,C,,,B-,,,A
,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,
V,,V,,,,,,B,,A,,A,,,A,A,A,,A,V,V,,,V,,,,,A,,,,A,,,A,,,A
B,,A,,,,B,,,,B,,B+,,,B,A-,B,,B,C,C,,C,B,,,,,,,C+,,C-,,,D+,,,C
V,,A-,,,,B,,,,B,,A,,,,,A-,,C+,C+,C,,,B+,,,,,,,,,,,,,,,B
B,,B,,,,A,,,,A,,,B+,,A-,A-,A,,A,V,,,,B,,,,A,,,,,V,,,,,,B
V,,,B+,,,,A,,,B,,A,,,B+,A,A,A-,B-,C-,C-,,,V,,,,,C,,,,C,,,C+,,,B-
A-,,B,,,,B+,,,,B+,,A,,,B+,B,B+,C+,B+,B,B-,,,B-,,,,,,,B-,,B-,,,C+,,,C
A,,A,,,,A,,,,A-,,A,,,A,A,A,A,A,B+,B+,,,A,,,,A,,,,,A,,,A,,,A
B,,B,,,,B,,,,C,,C,,,C,C+,B,,B,D,D,,,D,,,,,,,C,,RF,,B-,C+,,,C
B,,,B+,,,,B,,,B+,,A,,,A-,B+,A,,A,C+,C,,,V,,,,,B-,,,,B-,,,B,,,A-
A-,,A,,,,A,,,,A,,A,,,,A,B+,B+,B,C,C+,,,B,,,,C+,,,,,B,,,B,,,A-
A,,A-,,,,B+,,,,B+,,,,,,,B,,A-,A-,B,,,B,,,,,,,,,,,,,,,B
B,,B,,,,C,,,,C,,B+,,,A-,B,B,,C,C,D,,B,A,,,,,,,C,,D,,,C,,,B
B,,V,,,,,,B,,B,,A-,,,B,B,A,,C,B,C,,,B,,,,,,,D+,,D+,,,D+,,,B
A-,,D,,,,C+,,,,D,,,,,,,A,,D,D,D,,,D+,,,,,,,,,,,,,,,B-
A,,,A,,,,A,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,,,,A,,A,,,A,,,A
V,,V,,,,,,,,A,,,,A-,,,A-,,A,A,A,,,A,,,,,,,,,,,,,,,A
A,,B-,,,,A,,,,A-,,A,,,A-,B-,B,B,C+,D,D+,,,C,,,,,,,B+,,C,,,B,,,B
A-,,C,,,,C-,,,,C,,,,,,,B-,C+,B-,C-,C+,,,C,,,,,,,,,,,,,,,C
B+,,V,,,,,,A-,,A,,A,,,B,B,A,A-,B-,B+,A-,,,,,A,V,,,A,,A,A,,,B,,,A-
D,,RF,,A-,,,,,B+,A-,,,A,,,A-,C,B+,C,D,RF,D+,,D,,,,,,,C-,,D,,,D+,,,D+
A,,B+,,,,A,,,,B-,,,,,,,A,,B+,B-,C,,,D+,,,,,,,,,,,,,,,C+
B,,A,,,,B,,,,B,,,B,,B,A-,A,,B,B,C,,,A,,,,,,,B+,,B+,,,C,,,B
C,,,,B,,,,,C+,B,,B,,,C,B+,B,,D,C,D,,C,C,,,,,,,D,,RF,,C+,C,,,C
V,,B-,,,,,,,,,,,,,F,,F,,F,F,,,,V,,,,,F,,,,,,,,,,
A-,,A-,,,,A,,,,A,,B+,,,,A,B,A,B,B-,B+,,,A,,,,B+,,,,,A-,,,A-,,,A
C-,,A-,,,,A,,,,C+,,B,,,C,B+,B+,C,B-,C+,C,,,C-,,,,,,,C,F,C-,,,D+,,,C
B+,,A-,,,,A-,,,,A-,,,,A,A-,A,A,,A,A,A,,,B,,,,B,,,,,A,,,A-,,,B
B,,,,A,,,,,A-,B,,B,,,B+,B-,B,,B,B,C,,,D,,,,,,,C-,,C+,,,D+,,,B
A-,,,A,,,,A,,,A-,,A,,,A,B+,A,A-,B+,A,A-,,,A,,,,,,,A,B-,A-,,,A-,,,A-
B+,,B+,,,,B+,,,,B-,,A-,,,A-,A-,B+,B+,C+,C,D,,,C+,,,,,,,B+,,C,,,C-,,,C-
A,,A,,,,A,,,,A,,,,A-,B,B+,A,,B,C,C,,,B,,,,,,,B,C,C+,,,B-,,,C
A,,V,,,,,,A,,A,,A,,,A,A-,A,A,A-,A,A,,,V,,,,V,,,,,A,,,A,,,A
A,,A-,,,,B,,,,B-,,,,,,,B+,,A-,B-,C+,,,B+,,,,,,,,,,,,,,,B+
B-,,B,,,,A,,,,B-,,,,A-,A-,B,A,,B+,B,C+,,,B,,,,C,,,,,C-,,,C+,,,C+
A,,A,,,,A,,,,B,,,,B+,B,A,A,,A,B,C,,,B,,,,,,,B+,,C+,,,B-,,,B
V,,V,,,,,,A,,A,,,A,,A,A,A,,A,V,V,,,V,,,,,A,,,,V,,,V,,,A
V,,V,,,,,,B+,,B-,,,,B+,B+,A,A,A,B-,B-,C-,,,D+,,,,C+,,,,,B-,,,C,,,B-
B-,,,A-,,,,A,,,B+,,,B-,,C+,B+,B+,,C+,D,D+,,,D+,,,,C,,,,,,,,,,,B
V,,B+,,,,A-,,,,A,,,,,,,A-,,A,B,C,,,C+,,,,,,,,,,,,,,,A-
A,,V,,,,,,A-,,B,,,,A-,,A,A,A,B+,A,A,,,A,,,,,,,A,,A,,,A-,,,A-
B,,A,,,,B,,,,A-,,B+,,,B-,B,B-,C,D,C-,C-,,B-,A,,,,C,,,,F,,,,C,,,C
A,,,A-,,,,B+,,,A,,A,,,A,A,A,A-,B+,A-,B,,,B,,,,,,,A,,B-,,,A,,,B
B,,A,,,,B,,,,B,,B,,,B,A-,B,,B,B,B,,,B,,,,,,,C+,B,C+,,,D+,,,B
A,,A-,,,,A,,,,B,,,,,,,A,,B+,C,B-,,,A-,,,,,,,,,,,,,,,B+
A-,,,A,,,,A,,,A,,A,,,A-,A,A,A,A,A,A-,,,A,,,,A,,,,A,A,,,A,,,A
A,,A,,,,A-,,,,B+,,A-,,,A-,A,A,,A,B,A,,,A,,,,B,,,,A,A,,,A-,,,A-
A,,B,,,,A,,,,C,,A-,,,B+,A-,A,,B,C,D,,,C,,,,,,,B,,C,,,C,,,B
A,,V,,,,,,A,,A,,,A,,A,A,A,A,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
B,,A,,,,B,,,,B,,,,B+,B+,A,A,,A,A,A,,,,,A,V,,,A,,,A,,,A,,,B
B,,A-,,,,B-,,,,A-,,B,,,A-,B,B-,,C+,C,C+,,,B,,,,C-,,,,,C-,,,C+,,,B-
A,,V,,,,,,A,,B+,,A,,,,,B+,,A-,A-,B,,,B-,,,,,,,,,,,,,,,A-
V,,A,,,,A,,,,A,,,,A,V,A-,A-,A-,A,A-,A-,,,V,,,,,B+,,,,A,,,A-,,,A
V,,V,,,,,,A,,A,,A,,,A-,B+,A,,A,B,B,,,C,,,,C,,,,,A,,,B,,,A
A-,,A,,,,A,,,,A,,,,,,,A,,C+,C,C-,,,D+,,,,,,,,,,,,,,,B
V,,V,,,,,,A,,A,,A,,,A,A,A,,A,V,,,,V,,,,,A,,,,,A,,A,,,A
A,,B,,,,B+,,,,B-,,B+,,,A,B+,B+,,A-,B,B,,,RF;B-,,,,D,,,,,B+,,,B,,,B-
A-,,B,,,,B,,,,A,,,,,,,B+,,B-,D,D,,,C-,,,,,,,,,,,,,,,B
A,,V,,,,,,A,,A,,A,,,A,A,A,,A,V,,,,V,,,,,B,,,,B+,,,B+,,,B
B,,B,,,,B+,,,,B+,,C,,,A,B,B,,B-,C,B,,,C+,,,,,,,B+,,A,,,A-,,,D+
W;C+,,W;C,,,,C+,,,,D+,,,F,,C+,B+,W;B,C,W;C,W;D+,D,,B-,B+,,,,,,,C,,D+,,,C-,,,B
B-,,B+,,,,B,,,,B+,,,B,,B-,B,B+,,B,B,B,,,B,,,,,,,A,C-,B+,,,B+,,,B+
B+,,A-,,,,A-,,,,A,,A,,,A,A,A,,B,B-,C+,,,B+,,,,,,,B+,,C+,,,C,,,B+
A,,V,,,,,,A-,,A,,,A-,,A-,A,A,A,A,A,A,,,B,,,,B+,,,,,A,,,A,,,A
D,,C,,,,B,,,,D,,C,,,B-,B,B,,C,RF;D,C,,C;RF,C,,,,,,,D,,C-,,,C-,,,RF;D
C,,,,B-,,,,,B,B,,B+,,,,B,C,C+,B,D+,D+,,,C+,,,,C,,,,C,B,,,C+,,,B-
A,,A,,,,A,,,,A,,A,,,B,A,A,,A,V,,,,B,,,,A,,,,,,A,,B,,,A
V,,A-,,,,A,,,,A,,A,,,V,A,A,A,B,C+,C+,,,C+,,,,,,,B,,A-,,,B,,,A
V,,A,,,,,A,,,A,,,B,,A,A-,A-,A-,B-,A,A-,,,B-,,,,,,,A,,A,,,B,,,B
A,,B,,,,B,,,,B,,A-,,,B+,B,A,,B,V,,,,D,,,,,,,B-,C,V,,,,C+,,B
A,,,B,,,,A,,,A,,,A,,A-,A,A,,A,V,V,,,B,,,,A,,,,,A,,,A,,,A
D,,,,C,,,,,A-,C,,,C-,,B+,D,B,,D,C,D,,D,C,,,,,,,D,,D,,,D+,,,C
C+,,B+,,,,A-,,,,B-,,A,,,B+,A,B,A-,C,D,D,,,D+,,,,,,,B,,B+,,,B,,,B-
V,,V,,,,,,,,A,,,,A-,,,A,,A-,V,,,,V,,,,,B+,,,,V,,,A-,,,A
B,,,A,,,,A,,,B,,A,,,A,B+,A,,A,V,,,,,,B,V,,,B,,,,B,,,A-,,A
B,,,B,,,,B,,,A,,A-,,,B+,A,A,,B,D,D,,,D,,,,D,,,,,D,,,C,,,C
V,,B+,,,,A,,,,A,,A,,,,,B+,,B,B-,C-,,,A-,,,,,,,,,,,,,,,B+
B-,,B+,,,,A-,,,,A-,,,,,,,A-,,B,B,B-,,,C-,,,,C-,,,,,,,,,,,B+
A,,A,,,,A,,,,B,,A-,,,,W,A,,A,A,A,,,B,,,,,,,B,,B-,,,W,,,B
A,,A,,,,A,,,,A-,,A-,,,A-,A,A-,A,B+,V,,,,B+,,,,A,,,,A,,A,,A,,,A-
C+,,A,,,,B+,,,,A,,A-,,,A,A-,B+,C+,B,C,C-,,B+,D+,,,,RF,,,B,,C,,,C+,,,B-
A,,,A,,,,A,,,A-,,A,,,A,A,A,A,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
B+,,B,,,,A-,,,,A-,,,,,,,A,,A,B+,A-,,,B,,,,B,,,,,,,,,,,A
C+,,A,,,,A-,,,,B,,A-,,,B-,B-,A-,C+,C,D,D,,,D+,,,,,,,C,C,D+,,,C,,,C+
A,,A,,,,A,,,,B+,,,,,,,A,,A,C+,C-,,,B+,,,,,,,,,,,,,,,A
A,,V,,,,,,,,B+,,,A,,,,B+,,A,B-,C+,,,A-,,,,,,,,,,,,,,,A
V,,V,,,,,,A-,,A,,,,A,V,A,A,,A,V,,,,V,,,,,A,,,,,A,,A,,,A
B,,,A-,,,,C+,,,C-,,B+,,,,W,A-,,C+,V,,,,B,,,,C+,,,,,,B,,B-,,,B
C+,,,,W,,,,,,W,,,,,,,W,,W,B-,W,,,C,,,,W,,,,,V,,,,,,A-
B,,A-,,,,A,,,,B,,A,,,A,A-,B+,A,C+,C,D+,,,D,,,,,,,B,C,C,,,B,,,A-
A,,A,,,,A-,,,,A,,,A-,,A-,B,B+,C+,B-,C+,D+,,,D,,,,C-,,,,,C-,,,C,,,B
B+,,B,,,,B-,,,,A,,,,,,,B,,B,D,C-,,,C-,,,,,,,,,,,,,,,B-
B-,,A,,,,A-,,,,A,,B+,,,B+,B,A-,,B,B+,B-,,,A-,,,,,,,B+,,B,,,B,,,B
A,,,A,,,,A,,,A,,,B,,A,B+,A,,A,V,V,,,V,,,,V,,,,A,V,,,V,,,A
B,,B,,,,B,,,,B,,A-,,,B+,A-,A,,B,V,C,,,D,,,,,,,B-,,V,,,C,,,A
A-,,,B-,,,,A-,,,A-,,A,,,A,A-,B+,A-,B,B,B+,,,C-,,,,C,,,,,A,,,A-,,,B-
C,,B,,,,B,,,,A,,A,,,B-,A,A,,B,D,D,,,B,,,,C-,,,,,RF,C+,,B,,,C
